event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
japan-fsa-binance-warning-2018,119,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-dmm-bitcoin-order-2024-09,121,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-ftx-japan-suspension-2022-11,122,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-six-exchange-orders-2018-06,123,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-stablecoin-psa-effective-2023-06,124,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
japan-fsa-travel-rule-effective-2023-06,125,repair_replayable_trigger_anchor,https://www.fsa.go.jp/en/news/2023/index.html,capture_failed,,,,HTTPError 404
japan-fsa-zaif-orders-2018-09,126,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kazakhstan-digital-assets-law-2023-02,128,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kingdom-trust-fincen-2021,130,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
korea-fsc-institutional-restriction-2017,132,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kraken-monero-eu-delisting-2024,134,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kraken-uk-derivatives-exit-2021,137,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kucoin-canada-exit-2023,138,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
kucoin-netherlands-exit-2023,140,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
metamask-eth-phishing-detect-tornado-additions-2022,149,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
metamask-snaps-region-restrictions-2023-09,150,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
mica-l2-esma-eba-rts-2024,151,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
mtgox-bankruptcy-tokyo-2014,152,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
mtgox-dhs-dwolla-wells-fargo-seizure-2013,154,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
mtgox-usd-withdrawal-suspension-2013-06,157,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
nydfs-bitlicense-bitfinex-kraken-shapeshift-exit-2015,161,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
oasis-app-wormhole-counter-exploit-2023-02,162,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
